Nombre,Precio,Proveedor,MPN,EAN,Reloj base,Reloj turbo,Multiplicador desbloqueado,Nucleos,Subprocesos,TDP,Socket,GPU integrada
AMD Ryzen 5 5600X,$158.86 USD,AMD,100-100000065BOX,730143312042,3.7 GHz,4.6 GHz,True,6,12,65 W,AM4,False
AMD Athlon 3000G,$53.22 USD,AMD,YD3000C6FHBOX,730143311731,3.5 GHz,,True,2,4,35 W,AM4,Radeon RX Vega 3
AMD Ryzen 3 3300X,$150.09 USD,AMD,100-100000159BOX,730143312172,3.8 GHz,4.3 GHz,True,4,8,65 W,AM4,False
AMD Ryzen 5 5500,$87.04 USD,AMD,100-100000457BOX,730143314121,3.6 GHz,4.2 GHz,True,6,12,65 W,AM4,False
AMD Ryzen 5 5600,$133.46 USD,AMD,100-100000927BOX,730143314190,3.5 GHz,4.4 GHz,True,6,12,65 W,AM4,False
AMD Ryzen 5 5600G,$122.59 USD,AMD,100-100000252BOX,730143313414,3.9 GHz,4.4 GHz,True,6,12,65 W,AM4,"Radeon RX Vega 7, Cezanne"
AMD Ryzen 5 7600,$216.89 USD,AMD,100-100001015BOX,730143314572,3.8 GHz,5.1 GHz,True,6,12,65 W,AM5,Ryzen 7000 Graphics
AMD Ryzen 5 7600X,$202.37 USD,AMD,100-100000593WOF,730143314442,4.7 GHz,5.3 GHz,True,6,12,105 W,AM5,Ryzen 7000 Graphics
AMD Ryzen 7 5700G,$188.59 USD,AMD,100-100000263BOX,730143313377,3.8 GHz,4.6 GHz,True,8,16,65 W,AM4,"Radeon RX Vega 8, Cezanne"
AMD Ryzen 7 5700X,$187.87 USD,AMD,100-100000926WOF,730143314275,3.4 GHz,4.6 GHz,True,8,16,65 W,AM4,False
AMD Ryzen 7 5800X,$231.38 USD,AMD,100-100000063WOF,730143312714,3.8 GHz,4.7 GHz,True,8,16,105 W,AM4,False
AMD Ryzen 7 5800X3D,$304.65 USD,AMD,100-100000651WOF,730143313797,3.4 GHz,4.5 GHz,False,8,16,105 W,AM4,False
AMD Ryzen 7 7700,$319.16 USD,AMD,100-100000592BOX,730143314497,3.8 GHz,5.3 GHz,True,8,16,65 W,AM5,Ryzen 7000 Graphics
AMD Ryzen 7 7700X,$318.44 USD,AMD,100-100000591WOF,730143314428,4.5 GHz,5.4 GHz,True,8,16,105 W,AM5,Ryzen 7000 Graphics
AMD Ryzen 7 7800X3D,$384.44 USD,AMD,100-100000910WOF,730143314930,4.2 GHz,5.0 GHz,False,8,16,120 W,AM5,Ryzen 7000 Graphics
AMD Ryzen 9 5900X,$325.69 USD,AMD,100-100000061WOF,730143312738,3.7 GHz,4.8 GHz,True,12,24,105 W,AM4,False
AMD Ryzen 9 5950X,$224.86 USD,AMD,100-100000059WOF,730143312745,3.4 GHz,4.9 GHz,True,16,32,105 W,AM4,False
AMD Ryzen 9 7900,$398.22 USD,AMD,100-100000590BOX,730143314466,3.7 GHz,5.4 GHz,True,12,24,65 W,AM5,Ryzen 7000 Graphics
AMD Ryzen 9 7900X,$424.34 USD,AMD,100-100000589WOF,730143314558,4.7 GHz,5.6 GHz,True,12,24,170 W,AM5,Ryzen 7000 Graphics
AMD Ryzen 9 7950X,$544.02 USD,AMD,100-100000514WOF,730143314534,4.5 GHz,5.7 GHz,True,16,32,170 W,AM5,Ryzen 7000 Graphics
AMD Ryzen Threadripper 3960X,$1238.93 USD,AMD,100-100000010WOF,730143311885,3.8 GHz,4.5 GHz,True,24,48,280 W,TRX40,False
AMD Ryzen Threadripper 3970X,$1777.16 USD,AMD,100-100000011WOF,730143311908,3.7 GHz,4.5 GHz,True,32,64,280 W,TRX40,False
AMD Ryzen Threadripper 3990X,$3917.02 USD,AMD,100-100000163WOF,730143312110,2.9 GHz,4.3 GHz,True,64,128,280 W,TRX40,False
Intel Core i3-12100,$87.04 USD,Intel,BX8071512100,5032037238458,3.3 GHz,4.3 GHz,False,4,8,60 W,1700,Intel UHD 730
Intel Core i3-12100F,$87.04 USD,Intel,BX8071512100F,5032037238731,3.3 GHz,4.3 GHz,False,4,8,60 W,1700,False
Intel Core i5-12400,$173.36 USD,Intel,BX8071512400,5032037237741,2.5 GHz,4.4 GHz,False,6,12,65 W,1700,Intel UHD 730
Intel Core i5-12400F,$144.35 USD,Intel,BX8071512400F,5032037237758,2.5 GHz,4.4 GHz,False,6,12,65 W,1700,False
Intel Core i5-12600K,$231.38 USD,Intel,BX8071512600K,5032037234108,3.6 GHz,4.9 GHz,True,6,12,125 W,1700,Intel UHD 770
Intel Core i5-12600KF,$268.0 USD,Intel,BX8071512600KF,5032037234115,3.7 GHz,4.9 GHz,True,6,12,125 W,1700,False
Intel Core i5-13400,$224.13 USD,Intel,BX8071513400,5032037260275,2.5 GHz,GHz,False,6,12,65 W,1700,False
Intel Core i5-13400F,$195.84 USD,Intel,BX8071513400F,5032037260299,3.3 GHz,GHz,False,6,12,65 W,1700,False
