Nombre,Precio,Proveedor,MPN,EAN,Enchufes compatibles,Alto,Soporte adicional para fan
be quiet! Dark Rock 4 - 135mm,$64.54 USD,be quiet!,BK021,4260052186251,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 754, 775, 939, 940, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+, AM5, 1700",159 mm,True
Arctic Freezer 34 - 120mm,$30.72 USD,Arctic,ACFRE00052A,4895213701440,"1150, 1151, 1155, 1156, 2011, 2011-V3, 2066, AM4",157 mm,True
"Arctic Freezer 34 eSports Duo , 2x 120mm - red",$51.28 USD,Arctic,ACFRE00060A,4895213701860,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+, 1700",157 mm,False
"Arctic Freezer 34 eSports Duo , 2x 120mm - white",$44.94 USD,Arctic,ACFRE00061A,4895213701877,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+, 1700",157 mm,False
Arctic Freezer I11 - 92mm,$28.29 USD,Arctic,UCACO-FI11001-CSA01,872767006812,"1150, 1151, 1155, 1156, 2011, 2011-V3",130 mm,False
Arctic Liquid Freezer II Processor,$90.6 USD,Arctic,ACFRE00046A,4895213701907,"1150, 1151, 1155, 1156, 2011, 2011-V3, 2066, AM4",0 mm,False
be quiet! Dark Rock Pro 4 - 135mm,$104.44 USD,be quiet!,BK022,4260052186268,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+, AM5, 1700",163 mm,True
be quiet! Pure Rock - 120mm,$52.68 USD,be quiet!,BK009,4260052183915,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 754, 775, 939, 940, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",155 mm,False
Cooler Master Hyper 212 Black Edition - 120mm,$62.91 USD,Cooler Master,RR-212S-20PK-R1,4719512076163,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",160.02 mm,True
Corsair Cooling Hydro Series H100i Pro,$116.05 USD,Corsair,CW-9060033-WW,843591026512,"1150, 1151, 1155, 1156, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, TR4, sTRX4",0 mm,False
Corsair Cooling Hydro Series H115i PRO,$137.81 USD,Corsair,CW-9060032-WW,843591026505,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM4, FM1, FM2, TR4, sTRX4",0 mm,False
"Corsair Cooling Hydro Series H150i PRO , RGB",$166.83 USD,Corsair,CW-9060031-WW,843591026499,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM4, FM1, FM2, TR4, sTRX4",0 mm,False
Antec A30 - 92mm,$29.07 USD,Antec,0-761345-10922-2,761345109222,"1150, 1151, 1155, 1156, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",122.5 mm,True
Antec A40 PRO - 92mm,$39.42 USD,Antec,0-761345-10923-9,761345109239,"1150, 1151, 1155, 1156, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",136 mm,True
Antec A400 RGB Processor Kühler,$51.75 USD,Antec,0-761345-10921-5,761345109215,"AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",155 mm,True
Antec C40 - 92mm,$56.96 USD,Antec,0-761345-10929-1,761345109291,"1150, 1151, 1155, 1156, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+","136,5 mm",True
Antec C400 - 120mm,$26.26 USD,Antec,0-761345-10920-8,761345109208,"1150, 1151, 1155, 1156, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",155 mm,True
Arctic Alpine 11 passiv,$17.1 USD,ARCTIC,Arctic Alpine 11 passiv,872767008250,"1150, 1151, 1155, 1156",69 mm,False
Arctic Alpine 12 - 92mm,$11.02 USD,Arctic,ACALP00027A,4895213701419,"1150, 1151, 1155, 1156",77 mm,False
Arctic Alpine 12 CO - 92mm,$15.62 USD,Arctic,ACALP00031A,4895213701433,"1150, 1151, 1155, 1156",79 mm,False
Arctic Alpine 12 LP Low-Profile - 92mm,$9.42 USD,Arctic,ACALP00029A,4895213701426,"1150, 1151, 1155, 1156","42,5 mm",False
Arctic Alpine 12 passiver - black,$12.22 USD,Arctic,ACALP00024A,4895213701303,"1150, 1151, 1155, 1156",69 mm,False
Arctic Alpine 64 GT - 80mm,$10.15 USD,Arctic,UCACO-P1600-GBA01,872767002265,"754, 939, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",65 mm,False
Arctic Alpine 64 plus - 92mm,$17.08 USD,Arctic,UCACO-AP60301-BUA01,872767004566,"939, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",70 mm,False
Arctic Alpine AM4 - 92mm,$11.99 USD,Arctic,ACALP00025A,4895213701457,AM4,69 mm,False
"Arctic Alpine AM4 passiver , black",$15.95 USD,Arctic,ACALP00022A,4895213701259,AM4,70 mm,False
Arctic Alpine M1 aktiv,$11.44 USD,ARCTIC,Arctic Alpine M1 aktiv,872767007710,AM1,41 mm,False
ARCTIC COOLING ACALP64-GT 80mm Alpine 64 GT,$10.15 USD,ARCTIC COOLING,ACALP64-GT,872767002265,"FM2,FM1,AM3,AM2, 1150,2011,1366,1156,1155,775",64 mm,False
ARCTIC COOLING ACFZ11-LP 92mm Fluid Dynamic Freezer 11 LP Intel for Power Users,$21.75 USD,ARCTIC COOLING,ACFZ11-LP,872767002500,"1150,1155,1156,775",53 mm,False
ARCTIC COOLING ACFZ13 92mm High Performance for Intel and AMD,$31.86 USD,ARCTIC COOLING,ACFZ13,872767003781,"754 , 939 , AM2 , AM2+ , AM3, 1150 , 775 , 1155 , 1156 , 1366",130 mm,False
Arctic Alpine M1 aktiv,$11.44 USD,ARCTIC,Arctic Alpine M1 aktiv,872767007710,AM1,41 mm,False
ARCTIC COOLING Freezer 7 Pro Rev.2 92mm Fluid Dynamic,$27.44 USD,ARCTIC COOLING,Freezer 7 Pro Rev.2,872767002494,"1150 , 1366 , 1156 , 1155 , 775, AM3 , AM2+ , AM2 , 939 , 754",127 mm,False
ARCTIC COOLING UCACO-FI11001-CSA01 92mm,$28.29 USD,ARCTIC COOLING,UCACO-FI11001-CSA01,872767006812,"2011 , 1150 , 1155 , 1156",130 mm,False
ARCTIC COOLING UCACO-P0900-CSB01 120mm Fluid Dynamic Bearing,$41.4 USD,ARCTIC COOLING,UCACO-P0900-CSB01,872767002432,"1366 , 1156 , 1155 , 775, FM1 , AM3+ , AM3 , AM2+ , AM2 , 939 , 754",140 mm,False
Arctic Freezer 11 LP - 92mm,$21.62 USD,Arctic,UCACO-P2000000-BL,4895213701242,"1150, 1151, 1155, 1156, 775",53 mm,False
Arctic Freezer 12 - 92mm,$26.07 USD,Arctic,ACFRE00027A,872767008922,"1150, 1151, 1155, 1156, 2011, 2011-V3, 2066, AM4",130 mm,False
Arctic Freezer 12 CO - 92mm,$29.37 USD,Arctic,ACFRE00030A,872767008939,"1150, 1151, 1155, 1156, 2011, 2011-V3, 2066, AM4",130 mm,False
Arctic Freezer 13 - 92mm,$31.41 USD,Arctic,UCACO-FZ130-BL,4895213701020,"1150, 1151, 1155, 1156, 1366, 754, 775, 939, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",130 mm,False
Arctic Freezer 13 Continuous Operation - 92mm,$38.53 USD,Arctic,UCACO-FZ13100-BL,872767004436,"1150, 1151, 1155, 1156, 1366, 754, 775, 939, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",130 mm,False
"Arctic Freezer 33 TR , red - 120mm",$44.24 USD,Arctic,ACFRE00038A,4895213700221,"2011, 2011-V3, 2066, AM4, TR4",155 mm,False
"Arctic Freezer 33 TR , white - 120mm",$47.06 USD,Arctic,ACFRE00039A,4895213700498,"2011, 2011-V3, 2066, AM4, TR4",155 mm,False
Arctic Freezer 34 CO - 120mm,$26.83 USD,Arctic,ACFRE00051A,4895213701488,"1150, 1151, 1155, 1156, 2011, 2011-V3, 2066, AM4",157 mm,True
"Arctic Freezer 34 eSports , 120mm - red",$43.52 USD,Arctic,ACFRE00056A,4895213701792,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+, 1700",157 mm,True
"Arctic Freezer 34 eSports , 120mm - white",$60.48 USD,Arctic,ACFRE00057A,4895213701808,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+, 1700",157 mm,True
Arctic Freezer 7 Pro PWM Rev.2 - 92mm,$27.44 USD,Arctic,DCACO-FP701-CSA01,872767002494,"1150, 1151, 1155, 1156, 1366, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+","126,5 mm",False
Arctic Freezer Xtreme Rev.2 - 120mm,$41.4 USD,Arctic,UCACO-P0900-CSB01,872767002432,"1150, 1151, 1155, 1156, 1366, 775, 939, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",145 mm,False
Arctic Liquid Freezer II Processor,$67.29 USD,Arctic,ACFRE00067A,4895213701969,"1150, 1151, 1155, 1156, 2011, 2011-V3, 2066, AM4",0 mm,False
be quiet! Dark Rock 3,$76.37 USD,be quiet!,BK018,4260052183618,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 754, 775, 939, 940, AM2, AM3, AM3+, FM1, FM2, FM2+",160 mm,True
be quiet! Dark Rock Pro 3,$90.14 USD,be quiet!,BK019,4260052183625,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 754, 775, 939, 940, AM2, AM3, AM3+, FM1, FM2, FM2+",163 mm,False
be quiet! Dark Rock Pro TR4 - black,$87.76 USD,be quiet!,BK023,4260052186985,"TR4, sTRX4",163 mm,True
be quiet! Dark Rock Slim - 120mm,$68.17 USD,be quiet!,BK024,4260052187319,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+, AM5, 1700","159,4 mm",True
be quiet! Dark Rock TF - 135/135mm,$88.44 USD,be quiet!,BK020,4260052184233,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 754, 775, 939, 940, AM2, AM3, AM3+, FM1, FM2, FM2+","130,8 mm",True
be quiet! Dark Rock TF 2 - 135/135mm,$111.15 USD,be quiet!,BK031,4260052188705,"1200, 1150, 1151, 1155, 1156, 2011-V3, 2066, AM4, AM3+, AM5, 1700",134 mm,False
be quiet! Pure Loop 2 FX,$137.08 USD,be quiet!,BW014,4260052189030,"2066, 2011-V3, 2011, 1700, 1200, 1150, 1151, 1155, AM5, AM4",0 mm,False
be quiet! Pure Loop 2 FX,$156.38 USD,be quiet!,BW013,4260052189023,"2066, 2011-V3, 2011, 1700, 1200, 1150, 1151, 1155, AM5, AM4",0 mm,False
be quiet! Pure Loop 2 FX,$173.71 USD,be quiet!,BW015,4260052189047,"2066, 2011-V3, 2011, 1700, 1200, 1150, 1151, 1155, AM5, AM4",0 mm,False
be quiet! Pure Rock 2 - 120mm,$42.78 USD,be quiet!,BK006,4260052187920,"1200, 1150, 1151, 1155, 1156, 2011-V3, 2011, 2066, AM4, AM3+, AM3, AM5, 1700",155 mm,True
be quiet! Pure Rock 2 Black - 120mm,$51.69 USD,be quiet!,BK007,4260052187968,"1200, 1150, 1151, 1155, 1156, 2011-V3, 2011, 2066, AM4, AM3+, AM3, AM5, 1700",155 mm,True
be quiet! Pure Rock Slim - 92mm,$35.53 USD,be quiet!,BK008,4260052185254,"1150, 1151, 1155, 1156, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",125 mm,True
be quiet! Pure Rock Slim 2 - 92mm,$31.9 USD,be quiet!,BK030,4260052188453,"1200, 1150, 1151, 1155, AM4, AM3+, AM5, 1700",135 mm,True
be quiet! Shadow Rock 3 - 120mm,$57.29 USD,be quiet!,BK004,4260052187852,"1150, 1151, 1155, 2011-V3, 2011, 2066, AM4, AM3+, AM3, AM5, 1700",163 mm,True
