Nombre,Precio,Proveedor,MPN,EAN,Longitud,Ranuras,Conectores de 8 pines,Conectores de 6 pines,HDMI,DisplayPort,DVI,VGA,Relog de Boost,Vram,Reloj de memoria,TDP
ASRock Radeon RX 7700 XT Phantom Gaming 12GO,$499.61 USD,ASRock,90-GA4LZZ-00UANF,4710483943614,328 mm,2.5,2,0,1,3,0,0,2599 MHz,12 GB,18000 MHz,245 W
ASRock Radeon RX 7800 XT Challenger 16GO,$547.11 USD,ASRock,90-GA4SZZ-00UANF,4710483943683,267 mm,2.5,2,0,1,3,0,0,2475 MHz,16 GB,19500 MHz,263 W
ASUS Radeon RX 6700 XT TUF O12G,$768.16 USD,ASUS,90YV0G80-M0NA00,4711081119289,322 mm,3.0,1,1,1,3,0,0,2622 MHz,12 GB,8000 MHz,230 W
Gigabyte GeForce RTX 3050 Eagle OC,$283.32 USD,Gigabyte,GV-N3050EAGLE OC-8GD,4719331310721,213 mm,2.0,1,0,2,2,0,0,1792 MHz,8 GB,4 MHz,130 W
Gigabyte GeForce RTX 3050 Gaming OC,$295.95 USD,Gigabyte,GV-N3050GAMING OC-8GD,4719331310691,282 mm,2.0,1,0,2,2,0,0,1822 MHz,8 GB,4 MHz,130 W
Gigabyte GeForce RTX 3060 Gaming OC 12G LHR,$297.4 USD,Gigabyte,GV-N3060GAMING OC-12GD 2.0,4719331309312,282 mm,2.0,1,0,2,2,0,0,1837 MHz,12 GB,15000 MHz,170 W
Gigabyte GeForce RTX 3060 Ti Gaming OC 8G LHR,$426.51 USD,Gigabyte,GV-N306TGAMING OC-8GD 2.0,4719331309794,282 mm,2.0,1,0,2,2,0,0,1740 MHz,8 GB,14000 MHz,230 W
Gigabyte GeForce RTX 3060 Ti Gaming OC Pro 8G LHR,$649.8 USD,Gigabyte,GV-N306TGAMINGOC PRO-8GD 3.0,4719331309411,281 mm,2.0,1,1,2,2,0,0,1770 MHz,8 GB,14000 MHz,200 W
Gigabyte GeForce RTX 3060 Vision OC 12G LHR,$355.43 USD,Gigabyte,GV-N3060VISION OC-12GD 2.0,4719331309350,280 mm,2.0,1,0,2,2,0,0,1837 MHz,12 GB,15000 MHz,170 W
Gigabyte GeForce RTX 3070 Ti Master,$1034.26 USD,Gigabyte,GV-N307TAORUS M-8GD,4719331309336,324 mm,3.5,2,1,3,3,0,0,1875 MHz,8 GB,19000 MHz,290 W
Gigabyte GeForce RTX 3080 Ti Eagle OC 12G LHR,$1305.67 USD,Gigabyte,GV-N308TEAGLE OC-12GD,4719331308827,320 mm,2.7,2,0,2,3,0,0,1680 MHz,12 GB,19000 MHz,320 W
GIGABYTE GeForce RTX 4060 Ti Eagle,$398.22 USD,Gigabyte,GV-N406TEAGLE-8GD,4719331313401,272 mm,2.0,1,0,2,2,0,0,2535 MHz,8 GB,18000 MHz,160 W
GIGABYTE GeForce RTX 4060 Ti Gaming OC,$435.22 USD,Gigabyte,GV-N406TGAMING OC-8GD,4719331313456,281 mm,2.0,1,0,2,2,0,0,2535 MHz,8 GB,18000 MHz,160 W
GIGABYTE GeForce RTX 4070 Gaming OC,$629.62 USD,Gigabyte,GV-N4070GAMING OC-12GD 1.0,4719331312947,300 mm,3.0,0,0,1,3,0,0,2565 MHz,12 GB,21000 MHz,200 W
GIGABYTE GeForce RTX 4080 Eagle OC,$1160.59 USD,Gigabyte,GV-N4080EAGLE OC-16GD,4719331311506,342 mm,3.0,0,0,1,3,0,0,2520 MHz,16 GB,22400 MHz,320 W
Gigabyte Radeon RX 6700 XT Eagle,$454.3 USD,Gigabyte,GV-R67XTEAGLE-12GD,4719331308629,282 mm,2.0,1,1,2,2,0,0,2581 MHz,12 GB,8000 MHz,230 W
Gigabyte Radeon RX 6700 XT Gaming OC,$948.74 USD,Gigabyte,GV-R67XTGAMING OC-12GD,4719331308612,281 mm,2.5,1,1,2,2,0,0,2622 MHz,12 GB,8000 MHz,230 W
