Nombre,Precio,Proveedor,MPN,EAN,Tamaño,RPM,Cache
Seagate BarraCuda Compute Hard Drive 2 TB,$43.52 USD,Seagate,ST2000DM008,763649113653,2 TB,7200.0,256.0
Seagate Barracuda Hard Drive,$48.67 USD,Seagate,ST1000DM003,7636490025914,1 TB,7200.0,64.0
Seagate Barracuda Hard Drive,$112.71 USD,Seagate,ST2000DM001,7636490026003,2 TB,7200.0,64.0
Seagate BarraCuda Hard Drive 1 TB,$42.06 USD,Seagate,ST1000DM010,763649098240,1 TB,7200.0,64.0
Seagate BarraCuda Hard Drive 1 TB,$51.86 USD,Seagate,ST1000LM048,763649098301,1 TB,5400.0,128.0
Seagate BarraCuda Hard Drive 3 TB,$87.04 USD,Seagate,ST3000DM007,7636490078170,3 TB,5400.0,256.0
Seagate BarraCuda Hard Drive 4 TB,$89.48 USD,Seagate,ST4000DM004,763649094402,4 TB,5400.0,256.0
Seagate BarraCuda Hard Drive 5 TB,$195.02 USD,Seagate,ST5000LM000,763649078969,5 TB,5400.0,128.0
Seagate BarraCuda Hard Drive 6 TB,$137.08 USD,Seagate,ST6000DM003,763649094426,6 TB,5400.0,256.0
Seagate BarraCuda Hard Drive 8 TB,$141.44 USD,Seagate,ST8000DM004,763649094419,8 TB,5400.0,256.0
Seagate BarraCuda Pro Hard Drive,$293.69 USD,Seagate,ST8000DM0004,763649116401,8 TB,7.2,256.0
Seagate BarraCuda Pro Hard Drive 1 TB,$58.02 USD,Seagate,ST1000LM049,763649115756,1 TB,7200.0,128.0
Seagate BarraCuda Pro Hard Drive 12 TB,$436.31 USD,Seagate,ST12000DM0007,763649103197,12 TB,7200.0,256.0
Seagate BarraCuda Pro Hard Drive 14 TB,$558.53 USD,Seagate,ST14000DM001,8719706004305,14 TB,7200.0,256.0
Seagate Enterprise Hard Drive v5,$224.86 USD,Seagate,ST6000NM0115,7636490068744,6 TB,7200.0,6.0
Seagate Exos 7E2 Hard Drive 2 TB,$104.45 USD,Seagate,ST2000NM0008,763649098523,2 TB,7200.0,128.0
Seagate Exos 7E8 Hard Drive 4 TB,$166.83 USD,Seagate,ST4000NM002A,8719706015899,4 TB,7200.0,256.0
Seagate Exos E 7E8 Hard Drive 8 TB,$229.6 USD,Seagate,ST8000NM0055,7636490064593,8 TB,7200.0,256.0
Seagate FireCuda SSHD 1 TB,$68.9 USD,Seagate,ST1000DX002,763649110263,1 TB,7200.0,64.0
Seagate FireCuda SSHD 2 TB,$87.04 USD,Seagate,ST2000LX001,7636490069840,2 TB,5400.0,128.0
