Nombre,Precio,Proveedor,MPN,EAN,Socket,Chipset,Desbloqueado,Formato,Tipo_Memoria,Capacidad de memoria,Ranuras de RAM,SATA,VGA,DVI,Puerto Display,HDMI,WiFi
MSI B550-A Pro,$145.07 USD,MSI,7C56-002R,4719072733667,AM4,B550,False,ATX,DDR4,128 GB,4,6,0,0.0,1.0,1.0,False
ASRock B360 Pro4,$112.72 USD,ASRock,90-MXB6V0-A0UAYZ,4717677335262,1151,B360,False,ATX,DDR4,64 GB,4,6,0,0.0,0.0,0.0,False
ASRock B360M Pro4,$92.4 USD,ASRock,90-MXB760-A0UAYZ,4717677335149,1151,B360,False,Micro-ATX,DDR4,64 GB,4,6,0,0.0,0.0,0.0,False
ASRock B360M-ITX/AC,$103.49 USD,ASRock,90-MXB790-A0UAYZ,4717677335163,1151,B360,False,Mini-ITX,DDR4,32 GB,2,4,0,0.0,0.0,0.0,False
ASRock B650M PG Riptide,$159.58 USD,ASRock,90-MXBJ90-A0UAYZ,4710483940835,AM5,B650E,False,Micro-ATX,DDR5,128 GB,4,4,0,0.0,1.0,1.0,False
ASRock Fatal1ty X399 Professional Gaming,$431.41 USD,ASRock,90-MXB5Q0-A0UAYZ,4717677333930,TR4,X399,True,ATX,DDR4,128 GB,8,8,0,0.0,0.0,0.0,False
ASRock X299 Gaming K6,$261.13 USD,ASRock,90-MXB5E0-A0UAYZ,4717677333565,2066,X299,True,ATX,DDR4,128 GB,8,8,0,0.0,0.0,0.0,False
ASRock X399 Taichi,$314.49 USD,ASRock,90-MXB5R0-A0UAYZ,4717677333947,TR4,X399,True,ATX,DDR4,128 GB,8,8,0,0.0,0.0,0.0,False
"ASRock X570 Taichi, AMD X570",$293.77 USD,ASRock,90-MXBA80-A0UAYZ,4717677338683,AM4,X570,True,ATX,DDR4,128 GB,4,8,0,0.0,0.0,1.0,False
ASRock X99 Taichi,$253.93 USD,ASRock,90-MXB380-A0UAYZ,4717677331219,2011-V3,X99,False,ATX,DDR4,128 GB,8,10,0,0.0,0.0,0.0,False
ASRock Z270 Killer SLI,$196.37 USD,ASRock,90-MXB4T0-A0UAYZ,4717677332612,1151,Z270,True,ATX,DDR4,64 GB,4,6,0,0.0,0.0,0.0,False
ASRock Z270 Pro4,$128.2 USD,ASRock,90-MXB3Q0-A0UAYZ,4717677332414,1151,Z270,True,ATX,DDR4,64 GB,4,6,0,0.0,0.0,0.0,False
ASRock Z270M Pro4,$131.84 USD,ASRock,90-MXB3F0-A0UAYZ,4717677332490,1151,Z270,True,Micro-ATX,DDR4,64 GB,4,6,0,0.0,0.0,0.0,False
ASRock Z270M-ITX/ac,$123.07 USD,ASRock,90-MXB3K0-A0UAYZ,4717677332407,1151,Z270,True,Mini-ITX,DDR4,32 GB,2,6,0,0.0,0.0,0.0,False
ASRock Z370 Pro4,$130.56 USD,ASRock,90-MXB5X0-A0UAYZ,4717677334180,1151,Z370,True,ATX,DDR4,64 GB,4,6,0,0.0,0.0,0.0,False
ASRock Z370M Pro4,$122.96 USD,ASRock,90-MXB660-A0UAYZ,4717677334357,1151,Z370,True,Micro-ATX,DDR4,64 GB,4,6,0,0.0,0.0,0.0,False
ASRock Z390 Extreme 4,$155.01 USD,ASRock,90-MXB880-A0UAYZ,4717677336726,1151,Z390,False,ATX,DDR4,64 GB,4,4,0,0.0,0.0,1.0,False
ASRock Z390 Taichi,$245.05 USD,ASRock,90-MXB8H0-A0UAYZ,4717677336764,1151,Z390,False,ATX,DDR4,64 GB,4,4,0,0.0,0.0,1.0,False
ASRock Z790 PG Lightning,$103.61 USD,ASRock,90-MXBKA0-A0UAYZ,4710483940965,1700,Z790,False,ATX,DDR5,128 GB,4,4,0,0.0,0.0,1.0,False
ASUS PRIME B250M-A,$68.9 USD,ASUS,90MB0SR0-M0EAY0,4712900572056,1151,B250,False,Micro-ATX,DDR4,64 GB,4,6,0,0.0,0.0,0.0,False
Gigabyte Aorus X399 Gaming 7,$386.78 USD,Gigabyte,X399 AORUS Gaming 7,4719331801939,TR4,X399,True,ATX,DDR4,128 GB,8,8,0,0.0,0.0,0.0,False
Gigabyte Aorus Z270X-Gaming 5,$204.87 USD,Gigabyte,GA-Z270X-Gaming 5,4719331841386,1151,Z270,True,ATX,DDR4,64 GB,4,6,0,0.0,0.0,0.0,False
Gigabyte Aorus Z270X-Gaming 9,$143.68 USD,Gigabyte,GA-Z270X-Gaming 9,4719331846374,1151,Z270,True,E-ATX,DDR4,64 GB,4,8,0,0.0,0.0,0.0,False
Gigabyte B250M-DS3H,$63.18 USD,Gigabyte,GA-B250M-DS3H,4719331847265,1151,B250,False,Micro-ATX,DDR4,64 GB,4,6,0,0.0,0.0,0.0,False
Gigabyte B360 HD3,$91.34 USD,Gigabyte,B360 HD3,4719331802981,1151,B360,False,ATX,DDR4,64 GB,4,6,0,0.0,0.0,0.0,False
Gigabyte B360M D3H,$79.04 USD,Gigabyte,B360M D3H,4719331802790,1151,B360,False,Micro-ATX,DDR4,64 GB,4,6,0,0.0,0.0,0.0,False
Gigabyte B360M DS3H,$76.16 USD,Gigabyte,B360M DS3H,4719331802806,1151,B360,False,Micro-ATX,DDR4,64 GB,4,6,0,0.0,0.0,0.0,False
Gigabyte B365M DS3H,$257.42 USD,Gigabyte,B365M DS3H,4719331805579,1151,B365,False,Micro-ATX,DDR4,64 GB,4,6,0,0.0,0.0,0.0,False
"Gigabyte B450 Aorus M, AMD B450",$71.8 USD,Gigabyte,B450 AORUS M,4719331803858,AM4,B450,True,Micro-ATX,DDR4,64 GB,4,6,0,0.0,0.0,1.0,False
Gigabyte F2A88XN-WIFI,$68.18 USD,Gigabyte,GA-F2A88XN-WIFI,4719331839093,FM2+,A88X,False,Mini-ITX,DDR3,64 GB,2,4,0,1.0,0.0,2.0,True
Gigabyte H270M-DS3H,$108.02 USD,Gigabyte,GA-H270M-DS3H,4719331847333,1151,H270,False,Micro-ATX,DDR4,64 GB,4,6,0,0.0,0.0,0.0,False
Gigabyte Q270M-D3H,$45.0 USD,Gigabyte,GA-Q270M-D3H,4719331849290,1151,Q270,False,Micro-ATX,DDR4,64 GB,4,6,0,0.0,0.0,0.0,False
"Gigabyte X570 Aorus Elite, AMD X570",$179.89 USD,Gigabyte,X570 Aorus Elite,4719331806439,AM4,X570,True,ATX,DDR4,128 GB,4,6,0,0.0,0.0,0.0,False
"Gigabyte X570 Aorus Pro, AMD X570",$253.87 USD,Gigabyte,X570 Aorus Pro,4719331805999,AM4,X570,True,ATX,DDR4,128 GB,4,6,0,0.0,0.0,0.0,False
"Gigabyte X570 Gaming X, AMD X570",$158.86 USD,Gigabyte,X570 Gaming X,4719331806422,AM4,X570,True,ATX,DDR4,128 GB,4,6,0,0.0,0.0,1.0,False
"Gigabyte X570 I Aorus Pro WiFi, AMD X570",$202.38 USD,Gigabyte,X570 I Aorus Pro WiFi,4719331806408,AM4,X570,True,Mini-ITX,DDR4,64 GB,2,4,0,0.0,1.0,0.0,False
Gigabyte X99-UD3,$211.06 USD,Gigabyte,GA-X99-UD3,4719331833213,2011-V3,X99,False,ATX,DDR4,32 GB,4,10,0,0.0,0.0,0.0,False
