Nombre,Precio,Proveedor,MPN,EAN,Tipo de RAM,Tamaño,Reloj,Tiempos,Sticks
Corsair Vengeance RGB RS,$61.19 USD,Corsair,CMG16GX4M2E3200C16,840006649007,DDR4-3200,16 GB,3200,16-20-20-38,2
ADATA XPG Spectrix RGB D60G grey,$131.73 USD,ADATA,AX4U360038G17-DT60,4710273772011,DDR4-3600,16 GB,3600,17-18-18,2
Corsair Dominator Platinum + AF,$256.78 USD,Corsair,CMD16GX4M2B3600C18,843591090681,DDR4-3600,16 GB,3600,18-19-19-39,2
Corsair Dominator Platinum RGB Series,$92.75 USD,Corsair,CMT16GX4M2Z3200C16,840006609452,DDR4-3200,16 GB,3200,16-18-18-36,2
Corsair Dominator Platinum RGB Series,$111.69 USD,Corsair,CMT16GX4M2C3600C18,840006607311,DDR4-3600,16 GB,3600,18-19-19-39,2
Corsair Dominator Platinum RGB Series,$133.69 USD,Corsair,CMT32GX4M2C3200C16,840006607342,DDR4-3200,32 GB,3200,16-18-18-36,2
Corsair Dominator Platinum RGB Series,$145.07 USD,Corsair,CMT16GX4M2C3200C16,840006607304,DDR4-3200,16 GB,3200,16-18-18-36,2
Corsair Dominator Platinum RGB Series,$297.4 USD,Corsair,CMT32GX4M4Z3200C16,840006609476,DDR4-3200,32 GB,3200,16-18-18-36,2
Corsair Dominator Platinum Series 16GB,$262.93 USD,Corsair,CMD16GX4M2B3466C16,843591029780,DDR4-3466,16 GB,3466,16-18-18-36,2
Corsair Dominator Platinum Series 32GB,$244.44 USD,Corsair,CMD32GX4M2C3200C16,843591084703,DDR4-3200,32 GB,3200,16-18-18-36,2
Corsair Dominator Platinum Series DDR4-3200,$108.8 USD,Corsair,CMD16GX4M2B3200C16,843591073073,DDR4-3200,16 GB,3200,16-18-18-36,2
Corsair LED 32GB,$272.78 USD,Corsair,CMU32GX4M2C3200C16,843591090346,DDR4-3200,32 GB,3200,16-18-18-36,2
Corsair LPX 16GB,$81.23 USD,Corsair,CMK16GX4M2B3000C15B,6907502584073,DDR4-3000,16 GB,3000,15-17-17-35,2
Corsair LPX 16GB,$97.92 USD,Corsair,CMK16GX4M2Z2666C16,843591028479,DDR4-2666,16 GB,2666,16-18-18-35,2
Corsair LPX 16GB,$119.68 USD,Corsair,CMK16GX4M2A2400C16R,6907502583564,DDR4-2400,16 GB,2400,16-16-16-39,2
Corsair LPX 32GB,$76.16 USD,Corsair,CMK32GX4M2A2400C16,843591085564,DDR4-2400,32 GB,2400,16-16-16-39,2
Corsair LPX 32GB,$134.13 USD,Corsair,CMK32GX4M2B3200C16,843591070492,DDR4-3200,32 GB,3200,16-18-18-36,2
Corsair LPX 32GB,$143.81 USD,Corsair,CMK32GX4M2A2400C14R,843591070577,DDR4-2400,32 GB,2400,14-16-16-31,2
Corsair LPX 32GB,$149.95 USD,Corsair,CMK32GX4M2B3466C16R,843591094139,DDR4-3466,32 GB,3466,16-18-18-36,2
Corsair RGB 16GB,$137.81 USD,Corsair,CMR16GX4M2C3200C16,843591097208,DDR4-3200,16 GB,3200,16-18-18-36,2
"Corsair Vengeance LPX red + AF, DDR4-3600, CL 18 - 16 GB Dual Kit",$223.13 USD,Corsair,CMK16GX4M2B3600C18R,843591084475,DDR4-3600,16 GB,3600,18-19-19-39,2
Corsair Vengeance LPX black + AF,$108.8 USD,Corsair,CMK16GX4M2B3600C18,843591084451,DDR4-3600,16 GB,3600,18-19-19-39,2
"Corsair Vengeance LPX Series red DDR4-2666, CL16 - 16 GB Quad Kit",$102.05 USD,Corsair,CMK16GX4M4A2666C16R,843591056410,DDR4-2666,16 GB,2666,16-18-18-35,4
"Corsair Vengeance LPX Series black DDR4-2400, CL14 - 32 GB Kit",$182.79 USD,Corsair,CMK32GX4M4A2400C14,843591054980,DDR4-2400,32 GB,2400,14-16-16-31,4
"Corsair Vengeance LPX Series black DDR4-3000, CL15 - 8 GB Kit",$95.14 USD,Corsair,CMK8GX4M2B3000C15,843591069663,DDR4-3000,8 GB,3000,15-17-17-35,2
Corsair Vengeance LPX Series black DDR4-3200,$47.14 USD,Corsair,CMK16GX4M2B3200C16,843591070454,DDR4-3200,16 GB,3200,16-18-18-36,2
"Corsair Vengeance LPX Series black DDR4-3466, CL16 - 16 GB Kit",$210.35 USD,Corsair,CMK16GX4M2B3466C16,843591083072,DDR4-3466,16 GB,3466,16-18-18-36,2
Corsair Vengeance LPX Series white,$47.13 USD,Corsair,CMK16GX4M2B3200C16W,843591088381,DDR4-3200,16 GB,3200,16-18-18-36,2
"Corsair Vengeance LPX Series white, DDR4-3200, CL 16 - 32 GB Dual-Kit",$139.36 USD,Corsair,CMK32GX4M2B3200C16W,843591088411,DDR4-3200,32 GB,3200,16-18-18-36,2
Corsair Vengeance RGB Pro Series black,$50.04 USD,Corsair,CMW16GX4M2C3200C16,843591075381,DDR4-3200,16 GB,3200,16-18-18-36,2
Corsair Vengeance RGB Pro Series black,$90.66 USD,Corsair,CMW16GX4M2C3600C18,843591076951,DDR4-3600,16 GB,3600,18-19-19-39,2
Corsair Vengeance RGB Pro Series black,$101.55 USD,Corsair,CMW32GX4M2Z3600C18,840006621003,DDR4-3600,32 GB,3600,18-22-22-42,2
Corsair Vengeance RGB Pro Series black,$134.33 USD,Corsair,CMW16GX4M2C3200C14,843591024327,DDR4-3200,16 GB,3200,14-14-14-34,2
Corsair Vengeance RGB Pro Series black,$137.81 USD,Corsair,CMW16GX4M2C3466C16,843591098908,DDR4-3466,16 GB,3466,16-18-18-36,2
Corsair Vengeance RGB Pro Series black,$177.71 USD,Corsair,CMW32GX4M2C3200C16,843591082914,DDR4-3200,32 GB,3200,16-18-18-36,2
Corsair Vengeance RGB Pro Series black,$242.99 USD,Corsair,CMW32GX4M2C3466C16,840006603665,DDR4-3466,32 GB,3466,16-18-18-36,2
Corsair Vengeance RGB Pro Series white,$61.65 USD,Corsair,CMW16GX4M2C3200C16W,843591078719,DDR4-3200,16 GB,3200,16-18-18-36,2
Corsair Vengeance RGB Pro Series white,$68.9 USD,Corsair,CMW16GX4M2C3600C18W,843591078726,DDR4-3600,16 GB,3600,18-19-19-39,2
Corsair Vengeance RGB Series black,$104.19 USD,Corsair,CMR16GX4M2C3466C16,843591029803,DDR4-3466,16 GB,3466,16-18-18-36,2
Corsair Vengeance RGB Series white,$151.49 USD,Corsair,CMR16GX4M2C3600C18W,843591064040,DDR4-3600,16 GB,3600,18-19-19-39,2
Crucial Ballistix Elite series,$76.88 USD,Crucial,BLE2K8G4D36BEEAK,649528788672,DDR4-3600,16 GB,3600,16-18-18,2
"Crucial Ballistix Elite Series DDR4-2666, CL16 - 8 GB",$67.98 USD,Crucial,BLE8G4D26AFEA,649528770561,DDR4-2666,8 GB,2666,16-17-17,1
Crucial Ballistix Sport AT series,$75.63 USD,Crucial,BLS2K8G4D32AESTK,649528789242,DDR4-3200,16 GB,3200,16-18-18,2
Crucial Ballistix Sport AT series,$160.32 USD,Crucial,BLS2K16G4D32AEST,649528789266,DDR4-3200,32 GB,3200,16-18-18,2
Crucial Ballistix Sport LT series grey,$79.58 USD,Crucial,BLS2K8G4D32AESBK,649528789129,DDR4-3200,16 GB,3200,16-18-18,2
Crucial Ballistix Sport LT series grey,$153.77 USD,Crucial,BLS2K16G4D32AESB,649528789143,DDR4-3200,32 GB,3200,16-18-18,2
"Crucial Ballistix Sport LT Series grey DDR4-2400, CL16 - 16 GB Kit",$112.01 USD,Crucial,BLS2C8G4D240FSB,649528771360,DDR4-2400,16 GB,2400,16-16-16,2
"Crucial Ballistix Sport LT Series grey DDR4-2400, CL16 - 32 GB Kit",$225.58 USD,Crucial,BLS4C8G4D240FSB,649528771384,DDR4-2400,32 GB,2400,16-16-16,4
"Crucial Ballistix Sport LT Series grey DDR4-2400, CL16 - 8 GB",$66.13 USD,Crucial,BLS8G4D240FSB,649528771308,DDR4-2400,8 GB,2400,16-16-16,1
"Crucial Ballistix Sport LT Series grey DDR4-2400, CL16 - 8 GB Kit",$83.41 USD,Crucial,BLS2C4G4D240FSB,649528771353,DDR4-2400,8 GB,2400,16-16-16,2
Crucial Ballistix Sport LT series red,$79.58 USD,Crucial,BLS2K8G4D32AESEK,649528789181,DDR4-3200,16 GB,3200,16-18-18,2
Crucial Ballistix Sport LT series red,$154.14 USD,Crucial,BLS2K16G4D32AESE,649528789198,DDR4-3200,32 GB,3200,16-18-18,2
"Crucial Ballistix Sport LT Series red, DDR4-2400, CL16 - 8 GB",$70.81 USD,Crucial,BLS8G4D240FSE,649528777232,DDR4-2400,8 GB,2400,16-16-16,1
"Crucial Ballistix Sport LT Series red, DDR4-2400, CL16 - 8 GB Kit",$40.19 USD,Crucial,BLS2C4G4D240FSE,649528777256,DDR4-2400,8 GB,2400,16-16-16,2
Crucial Ballistix Sport LT series white,$79.58 USD,Crucial,BLS2K8G4D32AESCK,649528789068,DDR4-3200,16 GB,3200,16-18-18,2
Crucial Ballistix Sport LT series white,$143.62 USD,Crucial,BLS2K16G4D32AESC,649528789082,DDR4-3200,32 GB,3200,16-18-18,2
"Crucial Ballistix Sport LT Series white DDR4-2400, CL16 - 32 GB Kit",$148.3 USD,Crucial,BLS2C16G4D240FSC,649528774347,DDR4-2400,32 GB,2400,16-16-16,2
"Crucial Ballistix Sport LT Series white DDR4-2400, CL16 - 8 GB Kit",$40.19 USD,Crucial,BLS2C4G4D240FSC,649528774323,DDR4-2400,8 GB,2400,16-16-16,2
"Crucial Ballistix Sport LT Series white, DDR4-2400, CL16 - 8 GB",$63.12 USD,Crucial,BLS8G4D240FSC,649528774248,DDR4-2400,8 GB,2400,16-16-16,1
