Nombre,Precio,Proveedor,MPN,EAN,Formato,Protocolo,Tamaño,NAND,Controlador
Crucial P2 1000 GB,$78.51 USD,Crucial,CT1000P2SSD8,649528823472,M.2,NVM,1000 GB,TLC,Phison PS5013-E13T
ADATA XPG SX8200 Pro Series 2000 GB,$217.61 USD,ADATA,ASX8200PNP-2TT-C,4710273772875,M.2,NVM,2000 GB,TLC,Silicon Motion SM2262EN
ADATA XPG SX8200 Pro Series 512 GB,$261.13 USD,ADATA,ASX8200PNP-512GT-C,4713218469458,M.2,NVM,512 GB,TLC,Silicon Motion SM2262EN
ADATA XPG SX8200 Series,$161.48 USD,ADATA,ASX8200NP-480GT-C,4713218463685,M.2,NVM,480 GB,TLC,Silicon Motion SM2262
Corsair MP400 1000 GB,$123.31 USD,Corsair,CSSD-F1000GBMP400,840006623250,M.2,NVM,1000 GB,QLC,PS5012-E12S
Corsair MP400 4000 GB,$553.45 USD,Corsair,CSSD-F4000GBMP400,840006623274,M.2,NVM,4000 GB,QLC,PS5012-E12S
Corsair MP600 1000 GB,$162.46 USD,Corsair,CSSD-F1000GBMP600,840006614517,M.2,NVM,1000 GB,MLC,Phisons PS5016-E16
Corsair MP600 2000 GB,$248.07 USD,Corsair,CSSD-F2000GBMP600,840006614524,M.2,NVM,2000 GB,MLC,Phisons PS5016-E16
Corsair MP600 500 GB,$90.66 USD,Corsair,CSSD-F500GBMP600,840006614531,M.2,NVM,500 GB,TLC,Phisons PS5016-E16
Corsair MP600 Pro 1000 GB,$94.31 USD,Corsair,CSSD-F1000GBMP600PRO,840006637325,M.2,NVM,1000 GB,TLC,"Phison PS5018-E18, 8 Kanäle"
Corsair MP600 Pro 2000 GB,$146.64 USD,Corsair,CSSD-F2000GBMP600PRO,840006637349,M.2,NVM,2000 GB,TLC,"Phison PS5018-E18, 8 Kanäle"
Crucial MX500 1000 GB,$59.51 USD,Crucial,CT1000MX500SSD1,649528785060,SATA,SATA,1000 GB,TLC,Silicon Motion SM2258
Crucial MX500 2000 GB,$112.41 USD,Crucial,CT2000MX500SSD1,649528785077,SATA,SATA,2000 GB,TLC,Silicon Motion SM2258
Crucial MX500 500 GB,$36.25 USD,Crucial,CT500MX500SSD1,649528785053,SATA,SATA,500 GB,TLC,Silicon Motion SM2258
Crucial P1 1000 GB,$102.15 USD,Crucial,CT1000P1SSD8,649528787354,M.2,NVM,1000 GB,QLC,Silicon Motion SM2263EN
Crucial P1 500 GB,$59.73 USD,Crucial,CT500P1SSD8,649528787347,M.2,NVM,500 GB,QLC,Silicon Motion SM2263EN
Crucial P2 250 GB,$36.84 USD,Crucial,CT250P2SSD8,649528823410,M.2,NVM,250 GB,TLC,Phison PS5013-E13T
Crucial P2 500 GB,$36.39 USD,Crucial,CT500P2SSD8,649528823427,M.2,NVM,500 GB,TLC,Phison PS5013-E13T
Gigabyte Aorus 2000 GB,$454.98 USD,Gigabyte,GP-ASM2NE6200TTTD,4719331805791,M.2,NVM,2000 GB,TLC,Phison PS5016-E16
Intel 660P 2000 GB,$338.75 USD,Intel,SSDPEKNW020T8X1,735858381093,M.2,NVM,2000 GB,QLC,Silicon Motion SM2263EN
Intel 660P 512 GB,$55.03 USD,Intel,SSDPEKNW512G8X1,735858381062,M.2,NVM,512 GB,QLC,Silicon Motion SM2263EN
Sabrent Rocket,$87.77 USD,Sabrent,SB-ROCKET-512,840025210622,M.2,NVM,512 GB,TLC,Phison PS5012
